distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,params_wdm_channel_count,params_wdm_channel_power_dbm,params_wdm_raman_coefficient,params_filter_model,params_filter_awg_loss_db,params_awg_isolation_db,params_channel_total_loss_db,params_raman_dark_rate_hz
110.0,False,10000,bb84-decoy,BB84DecoyProtocol,0,0,0.0,23712.864452,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25.0,0.00316227766,ZERO_KEY,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-9.0,1e-09,awg,3.0,25.0,25.0,30162.697581074615
80.0,False,10000,bb84-decoy,BB84DecoyProtocol,2,0,0.0,94352.590523,0.0,0.0,0.84188612,0,1,1,0.0003305239,0.0,0.0,0.0,0.0,0.0,0,1,19.0,0.012589254118,ZERO_KEY,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-15.0,1e-09,awg,3.0,25.0,19.0,7433.116116629589
150.0,False,10000,bb84-decoy,BB84DecoyProtocol,0,0,0.0,3758.798285,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,33.0,0.000501187234,ZERO_KEY,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-1.0,1e-09,awg,3.0,25.0,33.0,191330.62547954297
120.0,False,10000,bb84-decoy,BB84DecoyProtocol,0,0,0.0,14962.788036,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,27.0,0.001995262315,ZERO_KEY,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-7.0,1e-09,awg,3.0,25.0,27.0,47916.670955149544
140.0,False,10000,bb84-decoy,BB84DecoyProtocol,0,0,0.0,5957.195587,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,31.0,0.000794328235,ZERO_KEY,0.0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-3.0,1e-09,awg,3.0,25.0,31.0,120650.78612134358
130.0,False,10000,bb84-decoy,BB84DecoyProtocol,0,0,0.0,9441.272009,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29.0,0.001258925412,ZERO_KEY,0.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-5.0,1e-09,awg,3.0,25.0,29.0,76054.82216088995
10.0,False,100000,bb84-decoy,BB84DecoyProtocol,753,0,0.0,2330259.962348,0.0,0.0,0.00488693,0,372,381,0.0117688243,0.0023430879,0.0,0.0,0.0,0.0,0,75,5.0,0.316227766017,ZERO_KEY,0.0298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-29.0,1e-09,awg,3.0,25.0,5.0,112.02056634159574
30.0,False,100000,bb84-decoy,BB84DecoyProtocol,292,0,0.0,937554.855239,0.0,0.0,0.01255369,0,141,151,0.0045144462,0.0010997251,0.0,0.0,0.0,0.0,0,29,9.0,0.125892541179,ZERO_KEY,0.0308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-25.0,1e-09,awg,3.0,25.0,9.0,570.9429427219285
0.0,False,100000,bb84-decoy,BB84DecoyProtocol,1217,0,0.0,3655851.421332,0.0,0.0,0.00302654,0,614,603,0.0189948226,0.0038379962,0.0,0.0,0.0,0.0,0,122,3.0,0.501187233627,ZERO_KEY,0.0328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-31.0,1e-09,awg,3.0,25.0,0.0,0.0
20.0,False,100000,bb84-decoy,BB84DecoyProtocol,485,0,0.0,1479838.302186,0.0,0.0,0.00757709,0,242,243,0.0076715633,0.0013421484,0.0,0.0,0.0,0.0,0,48,7.0,0.199526231497,ZERO_KEY,0.0325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,6e-07,2e-06,50.0,45.0,293.0,293.0,50.0,4,-27.0,1e-09,awg,3.0,25.0,7.0,289.56086537427717
