distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,params_wdm_channel_count,params_wdm_channel_power_dbm,params_wdm_raman_coefficient,params_filter_model,params_filter_awg_loss_db,params_awg_isolation_db,params_channel_total_loss_db,params_raman_dark_rate_hz,sweep_detector_detector_type
110.0,False,10000000,bb84-decoy,BB84DecoyProtocol,1722,0,0.0,47288.233048,0.0,0.0,0.00213991,0,859,863,0.0002880658,6.89151e-05,0.0,0.0,0.0,0.0,0,172,22.0,0.006309573445,ZERO_KEY,5.3914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,6e-07,1.2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,22.0,0.0,SPD
130.0,False,10000000,bb84-decoy,BB84DecoyProtocol,683,0,0.0,18833.825954,0.0,0.0,0.00538644,0,328,355,0.0001165462,2.10104e-05,0.0,0.0,0.0,0.0,0,68,26.0,0.002511886432,ZERO_KEY,5.2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,6e-07,1.2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,26.0,0.0,SPD
120.0,False,10000000,bb84-decoy,BB84DecoyProtocol,1143,0,0.0,29844.670909,0.0,0.0,0.00322216,0,570,573,0.0001903109,4.80309e-05,0.0,0.0,0.0,0.0,0,114,24.0,0.003981071706,ZERO_KEY,6.1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2277,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,6e-07,1.2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,24.0,0.0,SPD
140.0,False,10000000,bb84-decoy,BB84DecoyProtocol,456,0,0.0,11884.579896,0.0,0.0,0.00805701,0,212,244,7.45646e-05,2.2986e-05,0.0,0.0,0.0,0.0,0,46,28.0,0.001584893192,ZERO_KEY,5.8854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,6e-07,1.2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,28.0,0.0,SPD
150.0,False,10000000,bb84-decoy,BB84DecoyProtocol,294,0,0.0,7499.15634,0.0,0.0,0.01246882,0,148,146,4.92892e-05,1.1497e-05,0.0,0.0,0.0,0.0,0,29,30.0,0.001,ZERO_KEY,6.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,6e-07,1.2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,30.0,0.0,SPD
90.0,False,10000000,bb84-decoy,BB84DecoyProtocol,4377,206,2.06e-05,118655.405366,0.0,0.0,0.00084243,0,2177,2200,0.0007309447,0.0001785486,0.0,0.0,0.0,0.0,0,438,18.0,0.015848931925,OK,10.8954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8660,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,6e-07,1.2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,18.0,0.0,SPD
0.0,True,10000000,bb84-decoy,BB84DecoyProtocol,246394,26822,0.0026822,6737927.288533,0.01376251,0.0132947,0.01423032,3391,123654,122740,0.0420501632,0.0073427375,0.0001751322,0.01225365,0.02309579,0.49771689,4,24639,0.0,1.0,OK,6.2722,499,257,242,0,0,0,4,0,0,0,0,0,35038,17529,17529,15118,246896,3912,0,0,0,0,0,0,0,4,494108,0,False,False,0,"{""afterpulse_total_count"": 3912, ""ap_depth_d0"": 0,",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.1,0.2,0.0,0.25,False,0,0.15,0.15,6e-07,1.2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,0.0,0.0,SPD
10.0,True,10000000,bb84-decoy,BB84DecoyProtocol,164489,40304,0.0040304,4417492.181053,0.01375168,0.01317719,0.01432617,2262,82636,81853,0.0272958995,0.007026805,0.0001292173,0.01239141,0.01841843,0.44272446,1,16449,2.0,0.63095734448,OK,6.0147,217,117,100,0,0,0,1,0,0,0,0,0,22601,11331,11331,7170,164659,2580,0,0,0,0,0,0,0,1,329276,0,False,False,0,"{""afterpulse_total_count"": 2580, ""ap_depth_d0"": 0,",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,6e-07,1.2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,2.0,0.0,SPD
20.0,True,10000000,bb84-decoy,BB84DecoyProtocol,105098,22659,0.0022659,2857523.982296,0.01407258,0.01334212,0.01480304,1479,52671,52427,0.0174316312,0.0044863291,9.92231e-05,0.01248501,0.01849582,0.46774194,1,10510,4.0,0.398107170553,OK,5.6472,81,38,43,0,0,0,1,0,0,0,0,0,14366,7218,7218,3319,105486,1699,0,0,0,0,0,0,0,1,210986,0,False,False,0,"{""afterpulse_total_count"": 1699, ""ap_depth_d0"": 0,",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,6e-07,1.2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,4.0,0.0,SPD
50.0,True,10000000,bb84-decoy,BB84DecoyProtocol,27089,1948,0.0001948,741651.286222,0.0146554,0.01315269,0.0161581,397,13586,13503,0.0045064978,0.0011216472,2.28103e-05,0.01238503,0.0245098,0.61403509,1,2709,10.0,0.1,OK,5.6123,7,1,6,0,0,0,1,0,0,0,0,0,3664,1831,1831,429,27025,442,0,0,0,0,0,0,0,1,54211,0,False,False,0,"{""afterpulse_total_count"": 442, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.6,0.55,0.15,0.2,0.0,0.25,False,0,0.15,0.15,6e-07,1.2e-06,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,10.0,0.0,SPD
