distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,params_wdm_channel_count,params_wdm_channel_power_dbm,params_wdm_raman_coefficient,params_filter_model,params_filter_awg_loss_db,params_awg_isolation_db,params_channel_total_loss_db,params_raman_dark_rate_hz,sweep_detector_double_click_policy
34.29,True,10000000,bb84-decoy,BB84DecoyProtocol,64321,0,0.0,7308797.006564,0.03204241,0.03065234,0.03343249,2061,32156,32165,0.009893283,0.0021894507,0.0002926749,0.02407629,0.07780059,0.4974359,1,6432,6.85714286,0.20619860095,ZERO_KEY,6.419,55,30,25,0,0,0,1,0,0,0,0,0,1672,834,834,0,64425,0,0,5709,44,44,44,214,0,1,128282,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,6.857142857142858,0.0,RANDOM
45.71,True,10000000,bb84-decoy,BB84DecoyProtocol,37987,0,0.0,4416901.171454,0.03172138,0.02990962,0.03353314,1205,19163,18824,0.0058372074,0.0013030896,0.0001750521,0.02383535,0.06449136,0.57714286,1,3799,9.14285714,0.121818791201,ZERO_KEY,6.0558,17,8,9,0,0,0,1,0,0,0,0,0,982,528,528,0,37926,0,0,3339,8,8,8,64,0,1,76131,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,9.142857142857144,0.0,RANDOM
22.86,True,10000000,bb84-decoy,BB84DecoyProtocol,108264,286,2.86e-05,11920014.824768,0.03271632,0.03163945,0.03379319,3542,54337,53927,0.0166132971,0.0037826063,0.0005146492,0.02411101,0.07806102,0.53255588,1,10826,4.57142857,0.349025487896,OK,7.7363,168,87,81,0,0,0,1,0,0,0,0,0,2706,1313,1313,0,108799,0,1,9827,100,100,100,566,0,1,216552,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,4.571428571428572,0.0,RANDOM
80.0,True,10000000,bb84-decoy,BB84DecoyProtocol,8054,0,0.0,935349.515112,0.03290291,0.02877216,0.03703365,265,4007,4047,0.0012460052,0.0002558869,3.39873e-05,0.02542146,0.08007812,0.5,1,805,16.0,0.025118864315,ZERO_KEY,5.7553,1,1,0,0,0,0,1,0,0,0,0,0,215,103,103,0,8093,0,0,711,0,0,0,0,0,1,15961,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,16.0,0.0,RANDOM
68.57,True,10000000,bb84-decoy,BB84DecoyProtocol,13325,0,0.0,1575579.251494,0.03084428,0.02776676,0.0339218,411,6713,6612,0.0020455041,0.0004663456,6.00048e-05,0.02363103,0.07181136,0.45,1,1332,13.71428571,0.042517863034,ZERO_KEY,6.2482,2,1,1,0,0,0,1,0,0,0,0,0,358,186,186,0,13358,0,0,1214,3,3,3,8,0,1,26900,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,13.714285714285715,0.0,RANDOM
34.29,False,10000000,bb84-decoy,BB84DecoyProtocol,63973,0,0.0,7308797.006564,0.02263455,0.02145228,0.02381682,1448,31984,31989,0.0098116962,0.0022787668,0.000279718,0.01490052,0.06474978,0.49285714,35,6397,6.85714286,0.20619860095,ZERO_KEY,6.1799,35,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,5772,33,33,33,0,0,0,128083,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,6.857142857142858,0.0,DISCARD
0.0,False,10000000,bb84-decoy,BB84DecoyProtocol,299470,30987,0.0030987,29341482.042931,0.02232945,0.02179395,0.02286495,6687,150486,148984,0.0459072701,0.0106390643,0.0013830968,0.01417389,0.06569171,0.50072254,836,29947,0.0,1.0,OK,7.5273,836,0,0,0,0,836,836,0,0,0,0,0,0,0,0,0,0,0,0,27403,798,798,798,0,0,0,600937,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,0.0,0.0,DISCARD
22.86,False,10000000,bb84-decoy,BB84DecoyProtocol,108669,3022,0.0003022,11920014.824768,0.02226026,0.02136565,0.02315486,2419,54345,54324,0.0166938585,0.0037579416,0.0004857317,0.01463322,0.06480373,0.47991761,106,10867,4.57142857,0.349025487896,OK,6.9956,106,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,0,0,0,9722,87,87,87,0,0,0,216389,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,4.571428571428572,0.0,DISCARD
11.43,False,10000000,bb84-decoy,BB84DecoyProtocol,181165,12800,0.00128,19008775.033002,0.02231115,0.0216206,0.02300171,4042,90237,90928,0.0278347874,0.006287312,0.0007960665,0.01459334,0.06479052,0.49623116,264,18116,2.28571429,0.590783791159,OK,8.0505,264,0,0,0,0,264,264,0,0,0,0,0,0,0,0,0,0,0,0,16460,289,289,289,0,0,0,361845,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,2.285714285714286,0.0,DISCARD
45.71,False,10000000,bb84-decoy,BB84DecoyProtocol,38609,0,0.0,4416901.171454,0.02201559,0.02050254,0.02352865,850,19202,19407,0.0059301579,0.0013329635,0.000182028,0.01441902,0.06299213,0.46428571,18,3861,9.14285714,0.121818791201,ZERO_KEY,6.403,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,3429,16,16,16,0,0,0,77131,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.1,0.0,4,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.75,0.75,1.0,1.0,50.0,45.0,293.0,293.0,50.0,1,-20.0,0.0,ideal,3.0,25.0,9.142857142857144,0.0,DISCARD
