distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage
150.0,True,10000,bb84-decoy,BB84DecoyProtocol,0,0,0.0,7499.578149,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,30.0,0.001,ZERO_KEY,0.0059,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
0.0,False,100000,bb84-decoy,BB84DecoyProtocol,2664,0,0.0,7100768.934142,0.0,0.0,0.00138376,0,1357,1307,0.0371649773,0.0072917027,0.0,0.0,0.0,0.0,0,266,0.0,1.0,ZERO_KEY,0.0849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5316,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
0.0,True,100000,bb84-decoy,BB84DecoyProtocol,2636,0,0.0,7100768.934142,0.01441578,0.009098,0.01973356,38,1294,1342,0.0365256057,0.0076415062,0.0,0.01449275,0.01357466,0.0,1,264,0.0,1.0,ZERO_KEY,0.0362,4,1,3,0,0,0,1,0,0,0,0,0,523,246,246,6,2644,9,0,0,0,0,0,31,0,1,5224,0,False,False,0,"{""afterpulse_total_count"": 9, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
100.0,True,100000,bb84-decoy,BB84DecoyProtocol,28,0,0.0,74957.836219,0.0,0.0,0.12343612,0,13,15,0.0003953471,6.84018e-05,0.0,0.0,0.0,0.0,1,3,20.0,0.01,ZERO_KEY,0.0317,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,35,0,0,0,0,0,0,0,0,1,62,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
50.0,True,100000,bb84-decoy,BB84DecoyProtocol,277,0,0.0,745804.867286,0.01083032,0.0,0.0313228,3,133,144,0.0038503517,0.0007899165,0.0,0.00787402,0.04347826,0.0,1,28,10.0,0.1,ZERO_KEY,0.0508,0,0,0,0,0,0,1,0,0,0,0,0,54,25,25,0,274,0,0,0,0,0,0,1,0,1,545,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
150.0,True,100000,bb84-decoy,BB84DecoyProtocol,4,0,0.0,7499.578149,0.0,0.0,0.60236464,0,2,2,4.56059e-05,3.42489e-05,0.0,0.0,0.0,0.0,1,1,30.0,0.001,ZERO_KEY,0.0463,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,8,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
50.0,False,1000000,bb84-decoy,BB84DecoyProtocol,2685,0,0.0,745804.867286,0.0,0.0,0.00137294,0,1330,1355,0.0037243017,0.0007789048,0.0,0.0,0.0,0.0,0,268,10.0,0.1,ZERO_KEY,0.4517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5277,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
50.0,True,1000000,bb84-decoy,BB84DecoyProtocol,2657,0,0.0,745804.867286,0.01279639,0.00775663,0.01783614,34,1346,1311,0.0036954837,0.0007423854,2.00574e-05,0.01351905,0.0,1.0,1,266,10.0,0.1,ZERO_KEY,0.4497,1,0,1,0,0,0,1,0,0,0,0,0,548,270,270,2,2574,5,0,0,0,0,0,4,0,1,5373,0,False,False,0,"{""afterpulse_total_count"": 5, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
0.0,True,1000000,bb84-decoy,BB84DecoyProtocol,26034,1723,0.001723,7100768.934142,0.01352078,0.01204308,0.01499848,352,12949,13085,0.0362473606,0.0072953014,2.01268e-05,0.01317275,0.01698113,1.0,1,2603,0.0,1.0,OK,0.4702,56,30,26,0,0,0,1,0,0,0,0,0,5267,2575,2575,21,26010,38,0,0,0,0,0,302,0,1,51817,0,False,False,0,"{""afterpulse_total_count"": 38, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
100.0,False,1000000,bb84-decoy,BB84DecoyProtocol,275,0,0.0,74957.836219,0.0,0.0,0.01332454,0,136,139,0.0003847931,7.24298e-05,0.0,0.0,0.0,0.0,0,28,20.0,0.01,ZERO_KEY,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
0.0,False,1000000,bb84-decoy,BB84DecoyProtocol,26080,0,0.0,7100768.934142,0.0,0.0,0.00014143,0,13073,13007,0.0363326654,0.0073160665,0.0,0.0,0.0,0.0,0,2608,0.0,1.0,ZERO_KEY,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52021,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
150.0,False,1000000,bb84-decoy,BB84DecoyProtocol,25,0,0.0,7499.578149,0.0,0.0,0.13718517,0,10,15,3.48232e-05,6.9084e-06,0.0,0.0,0.0,0.0,0,2,30.0,0.001,ZERO_KEY,0.6279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
100.0,True,1000000,bb84-decoy,BB84DecoyProtocol,274,0,0.0,74957.836219,0.01459854,0.0,0.03695417,4,127,147,0.0003833026,7.23918e-05,0.0,0.01581028,0.0,0.0,1,27,20.0,0.01,ZERO_KEY,0.5626,0,0,0,0,0,0,1,0,0,0,0,0,60,33,33,0,275,0,0,0,0,0,0,0,0,1,551,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
150.0,True,1000000,bb84-decoy,BB84DecoyProtocol,29,0,0.0,7499.578149,0.06896552,0.0,0.22766189,2,12,17,4.24621e-05,3.4431e-06,0.0,0.07142857,0.0,0.0,1,3,30.0,0.001,ZERO_KEY,0.5715,0,0,0,0,0,0,1,0,0,0,0,0,9,6,6,0,25,1,0,0,0,0,0,0,0,1,53,0,False,False,0,"{""afterpulse_total_count"": 1, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.66,0.1,0.29,0.0,0.04999999999999999,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
