distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage
150.0,True,10000,bb84-decoy,BB84DecoyProtocol,0,0,0.0,7499.578149,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,30.0,0.001,ZERO_KEY,0.0068,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
100.0,False,100000,bb84-decoy,BB84DecoyProtocol,26,0,0.0,74957.836219,0.0,0.0,0.1322746,0,16,10,0.0004341727,0.0,0.0,0.0,0.0,0.0,0,3,20.0,0.01,ZERO_KEY,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
50.0,True,100000,bb84-decoy,BB84DecoyProtocol,229,0,0.0,745804.867286,0.01310044,0.0,0.03780558,3,107,122,0.0035839904,0.0006979411,0.0,0.00930233,0.07142857,0.0,1,23,10.0,0.1,ZERO_KEY,0.0317,0,0,0,0,0,0,1,0,0,0,0,0,41,17,17,0,225,0,0,0,0,0,0,0,0,1,447,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
0.0,True,100000,bb84-decoy,BB84DecoyProtocol,2328,0,0.0,7100768.934142,0.01718213,0.01103993,0.02332433,40,1210,1118,0.0363415406,0.0073224927,0.0,0.01740724,0.0137931,0.0,1,233,0.0,1.0,ZERO_KEY,0.0352,5,3,2,0,0,0,1,0,0,0,0,0,473,252,252,5,2352,7,0,0,0,0,0,24,0,1,4656,0,False,False,0,"{""afterpulse_total_count"": 7, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
100.0,True,100000,bb84-decoy,BB84DecoyProtocol,20,0,0.0,74957.836219,0.0,0.0,0.16843347,0,8,12,0.0003015025,9.94184e-05,0.0,0.0,0.0,0.0,1,2,20.0,0.01,ZERO_KEY,0.0405,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,26,1,0,0,0,0,0,0,0,1,57,0,False,False,0,"{""afterpulse_total_count"": 1, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
150.0,True,100000,bb84-decoy,BB84DecoyProtocol,4,0,0.0,7499.578149,0.0,0.0,0.60236464,0,1,3,6.68807e-05,0.0,0.0,0.0,0.0,0.0,1,1,30.0,0.001,ZERO_KEY,0.0537,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,8,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
50.0,False,1000000,bb84-decoy,BB84DecoyProtocol,2406,0,0.0,745804.867286,0.0,0.0,0.00153203,0,1158,1248,0.0038045688,0.0006141095,0.0,0.0,0.0,0.0,0,241,10.0,0.1,ZERO_KEY,0.4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4861,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
100.0,False,1000000,bb84-decoy,BB84DecoyProtocol,206,0,0.0,74957.836219,0.0,0.0,0.0177478,0,103,103,0.0003132315,8.98858e-05,0.0,0.0,0.0,0.0,0,21,20.0,0.01,ZERO_KEY,0.4888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
100.0,True,1000000,bb84-decoy,BB84DecoyProtocol,239,0,0.0,74957.836219,0.0376569,0.00503525,0.07027856,9,114,125,0.000378539,5.98185e-05,0.0,0.030837,0.16666667,0.0,1,24,20.0,0.01,ZERO_KEY,0.4319,0,0,0,0,0,0,1,0,0,0,0,0,55,26,26,1,243,2,0,0,0,0,0,1,0,1,501,0,False,False,0,"{""afterpulse_total_count"": 2, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
0.0,False,1000000,bb84-decoy,BB84DecoyProtocol,23142,0,0.0,7100768.934142,0.0,0.0,0.00015939,0,11598,11544,0.0361097255,0.0074846258,0.0,0.0,0.0,0.0,0,2314,0.0,1.0,ZERO_KEY,0.5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46277,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
0.0,True,1000000,bb84-decoy,BB84DecoyProtocol,23080,1145,0.001145,7100768.934142,0.01672444,0.01498614,0.01846273,386,11579,11501,0.0359243,0.0076086414,4.00438e-05,0.01647561,0.01770492,0.5,1,2308,0.0,1.0,OK,0.481,48,28,20,0,0,0,1,0,0,0,0,0,4733,2374,2374,41,22989,53,0,0,0,0,0,288,0,1,45995,0,False,False,0,"{""afterpulse_total_count"": 53, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
150.0,False,1000000,bb84-decoy,BB84DecoyProtocol,23,0,0.0,7499.578149,0.0,0.0,0.14818513,0,10,13,3.665e-05,4.9967e-06,0.0,0.0,0.0,0.0,0,2,30.0,0.001,ZERO_KEY,0.6149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
50.0,True,1000000,bb84-decoy,BB84DecoyProtocol,2487,0,0.0,745804.867286,0.01527945,0.00964646,0.02091244,38,1208,1279,0.0039060159,0.0007061546,0.0,0.01491901,0.0212766,0.0,1,249,10.0,0.1,ZERO_KEY,0.5602,0,0,0,0,0,0,1,0,0,0,0,0,463,242,242,1,2467,3,0,0,0,0,0,3,0,1,4962,0,False,False,0,"{""afterpulse_total_count"": 3, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
150.0,True,1000000,bb84-decoy,BB84DecoyProtocol,24,0,0.0,7499.578149,0.0,0.0,0.1424736,0,9,15,3.83752e-05,4.9922e-06,0.0,0.0,0.0,0.0,1,2,30.0,0.001,ZERO_KEY,0.5407,0,0,0,0,0,0,1,0,0,0,0,0,5,2,2,1,22,1,0,0,0,0,0,0,0,1,49,0,False,False,0,"{""afterpulse_total_count"": 1, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0
