distance_km,noise_applied,total_pulses,protocol_name,protocol_class,raw_sifted_bits,secure_key_bits,secure_key_rate,analytic_rogers_sbr,qber,qber_ci_low,qber_ci_high,num_errors,sifted_z_basis,sifted_x_basis,detection_yield_signal,detection_yield_decoy,detection_yield_vacuum,qber_signal,qber_decoy,qber_vacuum,double_clicks_discarded,parameter_estimation_samples,channel_total_loss_db,channel_transmittance,status,simulation_time_sec,diag_double_clicks_total,diag_resolved_to_d0,diag_resolved_to_d1,diag_rogers_resolved_to_d0,diag_kept_both,diag_double_clicks_discarded,diag_tossed_events,diag_pre_batch_lost,diag_tossed_boundary,diag_gated_lost,diag_carry_over_events,diag_deadtime_dropped,diag_combined_flips_with_arrivals,diag_qber_flips_only,diag_qber_flips,diag_dead_time_suppressions,diag_isi_events,diag_afterpulse_events,diag_dark_count_events,diag_imd_click_events,diag_imd_absorbed_by_signal,diag_imd_absorbed_by_signal_pre_jitter,diag_imd_absorbed_by_signal_post_jitter,diag_multiple_fires_per_slot,diag_rogers_discarded_events,diag_kernel_tossed,diag_in_gate_fires,diag_out_of_gate_fires,diag_rng_exhausted,diag_buffer_resized,diag_num_retries,final_state_snippet,source_type,uses_density_matrices,ideal_emission_probability,statistics_type,error_model,modulation_index,intensity_jitter,N_channels,signal_pulse_index,use_small_angle_approximation,use_linear_modulation_approximation,is_bidirectional,mzm_status,electrical_noise_std_v,pulse_signal_mu,pulse_signal_prob,pulse_decoy_mu,pulse_decoy_prob,pulse_vacuum_mu,pulse_vacuum_prob,security_metadata_enabled,security_metadata_total_sent,det_override_det_eff_d0,det_override_det_eff_d1,det_override_dark_rate,det_override_dark_rate_d1,det_override_bias_voltage,det_override_breakdown_voltage,det_override_temperature_k,det_override_ref_temperature_k,det_override_ref_bias_voltage,sweep_source_intended_proof
60.0,False,10000000,bb84-decoy,BB84DecoyProtocol,15046,1999,0.0001999,471544.43659,0.0,0.0,0.00024514,0,7592,7454,0.0023571121,0.0004520205,0.0,0.0,0.0,0.0,0,1505,12.0,0.063095734448,OK,9.0651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30162,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
70.0,False,10000000,bb84-decoy,BB84DecoyProtocol,9507,1143,0.0001143,297913.24554,0.0,0.0,0.00038794,0,4620,4887,0.0014814462,0.0003078732,0.0,0.0,0.0,0.0,0,951,14.0,0.039810717055,OK,7.1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19051,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
40.0,False,10000000,bb84-decoy,BB84DecoyProtocol,37561,7591,0.0007591,1178166.633955,0.0,0.0,9.821e-05,0,18891,18670,0.0058757825,0.0011503514,0.0,0.0,0.0,0.0,0,3756,8.0,0.158489319246,OK,11.4754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75463,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
50.0,False,10000000,bb84-decoy,BB84DecoyProtocol,23943,4341,0.0004341,745804.867286,0.0,0.0,0.00015406,0,11894,12049,0.0037440349,0.0007350024,0.0,0.0,0.0,0.0,0,2394,10.0,0.1,OK,6.1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47986,0,False,False,0,"{""afterpulse_total_count"": 0, ""ap_depth_d0"": 0, ""a",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
0.0,True,10000000,bb84-decoy,BB84DecoyProtocol,231337,36877,0.0036877,7100768.934142,0.01509486,0.01458609,0.01560363,3492,116015,115322,0.0360396638,0.0075352951,2.1486e-05,0.0150024,0.01500465,0.51162791,1,23134,0.0,1.0,OK,6.4102,462,235,227,0,0,0,1,0,0,0,0,0,47638,23686,23686,310,231325,455,0,0,0,0,0,2707,0,1,463395,0,False,False,0,"{""afterpulse_total_count"": 455, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
10.0,True,10000000,bb84-decoy,BB84DecoyProtocol,147764,20902,0.0020902,4570014.367521,0.01512547,0.01448949,0.01576145,2235,73776,73988,0.0230486988,0.0047208571,1.95016e-05,0.01499855,0.01503441,0.48717949,1,14776,2.0,0.63095734448,OK,6.1392,206,105,101,0,0,0,1,0,0,0,0,0,29962,14937,14937,200,148230,312,0,0,0,0,0,1171,0,1,296357,0,False,False,0,"{""afterpulse_total_count"": 312, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
20.0,True,10000000,bb84-decoy,BB84DecoyProtocol,94725,11572,0.0011572,2920410.345794,0.01508577,0.01428338,0.01588817,1429,47387,47338,0.0147584087,0.0030693606,9.5045e-06,0.01499413,0.0149886,0.47368421,1,9472,4.0,0.398107170553,OK,6.043,75,37,38,0,0,0,1,0,0,0,0,0,19072,9693,9693,130,94493,196,0,0,0,0,0,457,0,1,189514,0,False,False,0,"{""afterpulse_total_count"": 196, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
30.0,True,10000000,bb84-decoy,BB84DecoyProtocol,59533,4573,0.0004573,1857667.938681,0.01506727,0.01403827,0.01609628,897,29679,29854,0.0093130846,0.0018301158,3.996e-06,0.01500018,0.01503143,0.5,1,5953,6.0,0.251188643151,OK,6.1223,19,6,13,0,0,0,1,0,0,0,0,0,11957,5900,5900,89,59747,128,0,0,0,0,0,179,0,1,119051,0,False,False,0,"{""afterpulse_total_count"": 128, ""ap_depth_d0"": 0, ",PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
60.0,True,10000000,bb84-decoy,BB84DecoyProtocol,15258,0,0.0,471544.43659,0.01507406,0.01312317,0.01702494,230,7706,7552,0.0023918907,0.0004527958,1.0002e-06,0.01498258,0.01545254,0.5,1,1526,12.0,0.063095734448,ZERO_KEY,5.7915,2,2,0,0,0,0,1,0,0,0,0,0,3050,1501,1501,17,15089,25,0,0,0,0,0,18,0,1,30188,0,False,False,0,"{""afterpulse_total_count"": 25, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
70.0,True,10000000,bb84-decoy,BB84DecoyProtocol,9499,0,0.0,297913.24554,0.01515949,0.01256326,0.01775572,144,4713,4786,0.0014838378,0.0002972592,1.5002e-06,0.01494214,0.01512605,0.66666667,1,950,14.0,0.039810717055,ZERO_KEY,5.8724,0,0,0,0,0,0,1,0,0,0,0,0,1843,922,922,22,9461,30,0,0,0,0,0,12,0,1,19058,0,False,False,0,"{""afterpulse_total_count"": 30, ""ap_depth_d0"": 0, """,PoissonSource,False,1.0,poisson,random_gaussian,0.0,0.0,1,0,True,False,False,er_80.0db,2.8706829971541617e-05,0.5,0.6,0.1,0.2,0.0,0.2,False,0,0.15,0.15,1e-06,2e-06,50.0,45.0,293.0,293.0,50.0,LIM_2014
